model,rating,games,wins,draws
league_ppo_regular (score reward)_checkpoint_6600000.pth,1673.98,249,170,1
league_ppo (score reward)_checkpoint_26700000.pth,1673.96,327,206,6
league_ppo_regular (score reward)_checkpoint_9800000.pth,1670.43,263,171,17
league_ppo_regular (score reward)_checkpoint_9000000.pth,1669.28,89,65,3
league_ppo (score reward)_checkpoint_25700000.pth,1668.57,237,161,5
league_ppo_regular (score reward)_checkpoint_10300000.pth,1668.47,119,85,4
league_ppo (score reward)_checkpoint_29000000.pth,1667.85,288,208,10
league_ppo (score reward)_checkpoint_27000000.pth,1667.68,78,61,0
league_ppo_regular (score reward)_checkpoint_12700000.pth,1665.54,265,184,9
league_ppo (score reward)_checkpoint_25300000.pth,1665.20,122,87,2
league_ppo_regular (score reward)_checkpoint_12000000.pth,1664.53,260,170,20
league_ppo_real (score reward)_checkpoint_12800000.pth,1663.96,135,97,2
league_ppo_real (score reward)_checkpoint_4600000.pth,1661.83,399,291,5
league_ppo (score reward)_checkpoint_4300000.pth,1660.98,401,254,7
league_ppo_regular (score reward)_checkpoint_9900000.pth,1660.31,167,110,11
league_ppo (score reward)_checkpoint_6700000.pth,1658.33,94,66,0
league_ppo_regular (score reward)_checkpoint_9100000.pth,1658.12,202,135,9
league_ppo (misc rewards)_checkpoint_6500000.pth,1657.66,170,114,5
league_ppo_regular (score reward)_checkpoint_2600000.pth,1657.25,221,149,2
league_ppo_regular (score reward)_checkpoint_4600000.pth,1656.88,149,102,4
league_ppo_regular (score reward)_checkpoint_12200000.pth,1656.48,335,214,21
league_ppo (score reward)_checkpoint_26400000.pth,1654.28,342,228,11
league_ppo (score reward)_checkpoint_29400000.pth,1652.98,120,86,3
league_ppo (score reward)_checkpoint_25500000.pth,1652.49,111,75,2
league_ppo_regular (score reward)_checkpoint_3000000.pth,1649.42,353,242,5
league_ppo_regular (score reward)_checkpoint_4400000.pth,1649.24,160,109,5
league_ppo_real (score reward)_checkpoint_12400000.pth,1646.96,132,90,2
league_ppo (score reward)_checkpoint_27100000.pth,1646.34,227,146,3
league_ppo (score reward)_checkpoint_29300000.pth,1646.07,216,147,3
league_ppo (score reward)_checkpoint_28500000.pth,1645.63,398,222,6
league_ppo_real (score reward)_checkpoint_3700000.pth,1644.85,656,407,12
league_ppo_regular (score reward)_checkpoint_12900000.pth,1643.84,220,136,18
league_ppo (score reward)_checkpoint_6600000.pth,1643.13,336,226,6
league_ppo (score reward)_checkpoint_27300000.pth,1643.11,205,131,0
league_ppo_regular (score reward)_checkpoint_7500000.pth,1641.92,354,218,14
league_ppo_regular (score reward)_checkpoint_4700000.pth,1641.77,114,80,3
league_ppo_real (score reward)_checkpoint_5700000.pth,1640.84,396,232,35
league_ppo_regular (score reward)_checkpoint_8100000.pth,1639.27,143,86,11
league_ppo_regular (score reward)_checkpoint_6400000.pth,1639.11,264,180,6
league_ppo_regular (score reward)_checkpoint_4200000.pth,1638.37,325,213,7
league_ppo_regular (score reward)_checkpoint_4300000.pth,1637.75,339,216,5
league_ppo_regular (score reward)_checkpoint_6800000.pth,1637.13,265,173,4
league_ppo_regular (score reward)_checkpoint_11600000.pth,1636.62,158,101,10
league_ppo_regular (score reward)_checkpoint_2500000.pth,1635.61,263,165,6
league_ppo_real (score reward)_checkpoint_3600000.pth,1635.61,314,219,2
league_ppo (score reward)_checkpoint_25600000.pth,1635.41,214,129,19
league_ppo_regular (score reward)_checkpoint_5000000.pth,1634.90,120,83,6
league_ppo (score reward)_checkpoint_28200000.pth,1633.39,1102,578,47
league_ppo_regular (score reward)_checkpoint_13000000.pth,1633.26,336,226,12
league_ppo_regular (score reward)_checkpoint_2800000.pth,1632.83,414,272,2
league_ppo_regular (score reward)_checkpoint_13500000.pth,1631.58,180,112,11
league_ppo_regular (score reward)_checkpoint_2900000.pth,1629.98,207,138,2
league_ppo_real (score reward)_checkpoint_3000000.pth,1629.55,337,194,12
league_ppo (score reward)_checkpoint_28600000.pth,1629.43,112,74,2
league_ppo (score reward)_checkpoint_4100000.pth,1628.38,331,207,2
league_ppo (misc rewards)_checkpoint_6700000.pth,1628.26,220,142,3
league_ppo (score reward)_checkpoint_28900000.pth,1628.13,195,124,12
league_ppo (score reward)_checkpoint_27900000.pth,1626.74,184,125,6
league_ppo (score reward)_checkpoint_4900000.pth,1625.98,97,65,2
league_ppo_regular (score reward)_checkpoint_2000000.pth,1624.02,147,97,1
league_ppo_regular (score reward)_checkpoint_6300000.pth,1622.99,122,73,4
league_ppo_real (score reward)_checkpoint_12900000.pth,1622.64,161,101,5
league_ppo (score reward)_checkpoint_26200000.pth,1621.07,294,182,22
league_ppo_regular (score reward)_checkpoint_8600000.pth,1620.37,181,110,14
league_ppo (score reward)_checkpoint_27600000.pth,1619.57,91,63,2
league_ppo_regular (score reward)_checkpoint_6900000.pth,1619.15,669,439,14
league_ppo (score reward)_checkpoint_27500000.pth,1619.08,212,137,4
league_ppo_regular (score reward)_checkpoint_8500000.pth,1618.99,154,93,13
league_ppo_regular (score reward)_checkpoint_13100000.pth,1618.37,140,91,6
league_ppo (score reward)_checkpoint_28400000.pth,1617.69,325,225,3
league_ppo (score reward)_checkpoint_3400000.pth,1617.58,117,72,5
shoot_left_ppo (without embedding)_checkpoint_2736128.pth,1617.47,412,260,8
league_ppo_regular (score reward)_checkpoint_7200000.pth,1616.52,96,63,6
league_ppo_regular (score reward)_checkpoint_3800000.pth,1616.37,336,217,6
league_ppo (score reward)_checkpoint_19100000.pth,1614.30,1058,497,51
league_ppo (score reward)_checkpoint_29700000.pth,1612.88,416,236,15
league_ppo_regular (score reward)_checkpoint_8900000.pth,1612.60,416,289,15
league_ppo_regular (score reward)_checkpoint_7100000.pth,1611.69,377,263,10
league_ppo_regular (score reward)_checkpoint_4900000.pth,1610.23,467,279,17
league_ppo_regular (score reward)_checkpoint_3200000.pth,1610.19,258,164,2
league_ppo (score reward)_checkpoint_28800000.pth,1609.91,211,137,7
league_ppo (score reward)_checkpoint_26900000.pth,1609.71,220,141,5
league_ppo (score reward)_checkpoint_5300000.pth,1609.62,874,496,35
league_ppo (misc rewards)_checkpoint_2300000.pth,1608.99,357,200,16
league_ppo_regular (score reward)_checkpoint_3600000.pth,1608.95,122,76,1
league_ppo_regular (score reward)_checkpoint_5100000.pth,1608.69,115,66,3
league_ppo (score reward)_checkpoint_26800000.pth,1608.58,261,157,6
league_ppo_regular (score reward)_checkpoint_13300000.pth,1608.25,281,172,25
league_ppo_regular (score reward)_checkpoint_500000.pth,1606.70,106,59,6
league_ppo_regular (score reward)_checkpoint_2100000.pth,1604.85,149,93,2
league_ppo_real (score reward)_checkpoint_5000000.pth,1603.86,175,107,14
league_ppo_regular (score reward)_checkpoint_11300000.pth,1603.71,83,48,7
league_ppo (score reward)_checkpoint_3600000.pth,1602.69,258,173,6
league_ppo_regular (score reward)_checkpoint_8400000.pth,1602.27,201,138,3
league_ppo_regular (score reward)_checkpoint_7800000.pth,1602.03,252,151,13
league_ppo (score reward)_checkpoint_3200000.pth,1601.81,86,52,1
league_ppo (score reward)_checkpoint_23100000.pth,1601.21,140,89,2
league_ppo (score reward)_checkpoint_27800000.pth,1600.97,216,136,4
league_ppo (score reward)_checkpoint_29600000.pth,1600.95,102,65,1
league_ppo_regular (score reward)_checkpoint_1800000.pth,1600.86,147,93,0
league_ppo (misc rewards)_checkpoint_2600000.pth,1600.55,150,79,12
shoot_left_ppo (without embedding)_checkpoint_2883584.pth,1599.88,92,59,1
league_ppo (score reward)_checkpoint_27400000.pth,1599.40,437,256,14
league_ppo (score reward)_checkpoint_26100000.pth,1598.57,87,59,1
league_ppo_regular (score reward)_checkpoint_4100000.pth,1598.57,133,80,3
league_ppo_regular (score reward)_checkpoint_9700000.pth,1598.16,233,152,12
league_ppo (score reward)_checkpoint_13600000.pth,1596.59,157,102,0
league_ppo (score reward)_checkpoint_22500000.pth,1596.24,136,78,5
league_ppo (score reward)_checkpoint_6200000.pth,1595.98,264,172,8
shoot_left_ppo (without embedding)_checkpoint_1949696.pth,1595.71,166,85,2
league_ppo_regular (score reward)_checkpoint_11400000.pth,1593.11,241,160,4
league_ppo_regular (score reward)_checkpoint_5800000.pth,1591.73,666,341,46
league_ppo (score reward)_checkpoint_5200000.pth,1591.25,358,200,8
league_ppo (score reward)_checkpoint_16000000.pth,1591.07,166,85,2
league_ppo_real (score reward)_checkpoint_2600000.pth,1590.85,206,119,7
league_ppo_regular (score reward)_checkpoint_8300000.pth,1589.94,96,63,3
league_ppo (score reward)_checkpoint_13700000.pth,1589.58,199,116,2
league_ppo (score reward)_checkpoint_18400000.pth,1589.23,425,245,7
league_ppo (score reward)_checkpoint_13500000.pth,1588.85,114,66,2
league_ppo_regular (score reward)_checkpoint_6000000.pth,1588.59,132,73,7
league_ppo (score reward)_checkpoint_4600000.pth,1588.26,120,70,0
league_ppo (score reward)_checkpoint_4000000.pth,1588.13,276,154,8
shoot_left_ppo (without embedding)_checkpoint_2932736.pth,1588.04,99,57,2
league_ppo (misc rewards)_checkpoint_7400000.pth,1587.99,154,83,9
league_ppo_real (score reward)_checkpoint_2700000.pth,1586.99,295,188,2
