model,rating,games,wins,draws
league_ppo_regular_real (score reward) (latent_dims 128 128)_checkpoint_12100000.pth,2294.98,100,87,0
league_ppo_regular_real (score reward) (latent_dims 128 128)_checkpoint_11200000.pth,2291.03,100,88,2
league_ppo_regular_real (score reward) (latent_dims 128 128)_checkpoint_11600000.pth,2279.37,100,90,1
league_ppo_regular_real (score reward) (latent_dims 128 128)_checkpoint_11100000.pth,2279.31,100,88,2
league_ppo_regular_real (score reward) (latent_dims 128 128)_checkpoint_11500000.pth,2276.61,100,89,0
league_ppo_regular_real (score reward) (latent_dims 128 128)_checkpoint_10100000.pth,2275.89,100,92,1
league_ppo_regular_real (score reward) (latent_dims 128 128)_checkpoint_10200000.pth,2264.34,100,88,0
league_ppo_regular_real (score reward) (latent_dims 128 128)_checkpoint_11800000.pth,2256.57,100,89,1
league_ppo_regular_real (score reward) (latent_dims 128 128)_checkpoint_12200000.pth,2255.78,100,87,1
league_ppo_regular_real (score reward) (latent_dims 128 128)_checkpoint_11700000.pth,2230.37,100,93,0
league_ppo_regular_real (score reward) (latent_dims 128 128)_checkpoint_10800000.pth,2229.68,100,83,1
league_ppo_regular_real (score reward) (latent_dims 128 128)_checkpoint_13600000.pth,2227.27,100,82,3
league_ppo_regular_real (score reward) (latent_dims 128 128)_checkpoint_11300000.pth,2209.61,100,85,0
league_ppo_regular_real (score reward) (latent_dims 128 128)_checkpoint_10600000.pth,2207.05,100,82,1
league_ppo_regular_real (score reward) (latent_dims 128 128)_checkpoint_11400000.pth,2198.22,100,79,2
league_ppo_regular_real (score reward) (latent_dims 128 128)_checkpoint_12000000.pth,2193.94,100,82,1
league_ppo_regular_real (score reward) (latent_dims 128 128)_checkpoint_7000000.pth,2188.32,100,76,2
league_ppo_regular_real (score reward) (latent_dims 128 128)_checkpoint_10900000.pth,2183.34,100,89,0
league_ppo_regular_real (score reward) (latent_dims 128 128)_checkpoint_11000000.pth,2178.97,100,84,1
league_ppo_regular_real (score reward) (latent_dims 128 128)_checkpoint_14100000.pth,2178.73,100,76,2
league_ppo_regular_real (score reward) (latent_dims 128 128)_checkpoint_10400000.pth,2173.73,100,82,0
league_ppo_regular_real (score reward) (latent_dims 128 128)_checkpoint_7100000.pth,2172.45,100,77,1
league_ppo_regular_real (score reward) (latent_dims 128 128)_checkpoint_13500000.pth,2172.14,100,77,5
league_ppo_regular_real (score reward) (latent_dims 128 128)_checkpoint_9900000.pth,2171.87,100,83,1
league_ppo_regular_real (score reward) (latent_dims 128 128)_checkpoint_11900000.pth,2171.27,100,86,1
league_ppo_regular_real (score reward) (latent_dims 128 128)_checkpoint_8700000.pth,2168.22,100,79,3
league_ppo_regular_real (score reward) (latent_dims 128 128)_checkpoint_10300000.pth,2165.52,100,80,0
league_ppo_regular_real (score reward) (latent_dims 128 128)_checkpoint_13700000.pth,2163.52,100,80,6
league_ppo_regular_real (score reward) (latent_dims 128 128)_checkpoint_12300000.pth,2160.36,100,79,3
league_ppo_regular_real (score reward) (latent_dims 128 128)_checkpoint_13800000.pth,2155.23,100,75,3
league_ppo_regular_real (score reward) (latent_dims 128 128)_checkpoint_5600000.pth,2149.57,100,71,4
league_ppo_regular_real (score reward) (latent_dims 128 128)_checkpoint_13200000.pth,2148.80,100,71,6
league_ppo_regular_real (score reward) (latent_dims 128 128)_checkpoint_10700000.pth,2146.56,100,85,1
league_ppo_regular_real (score reward) (latent_dims 128 128)_checkpoint_4400000.pth,2145.74,100,73,0
