model,rating,games,wins,draws
league_ppo (score reward)_checkpoint_28700000.pth,2000.35,100,55,3
league_ppo_regular (score reward)_checkpoint_9800000.pth,1998.86,100,57,3
league_ppo_regular (score reward)_checkpoint_12500000.pth,1996.66,100,55,2
league_ppo (score reward)_checkpoint_5300000.pth,1994.79,100,55,1
league_ppo (score reward)_checkpoint_25600000.pth,1994.29,100,47,5
league_ppo (score reward)_checkpoint_27000000.pth,1994.24,100,52,3
league_ppo_regular (score reward)_checkpoint_3000000.pth,1993.91,100,55,0
league_ppo (score reward)_checkpoint_25400000.pth,1993.34,100,58,5
league_ppo_real (score reward)_checkpoint_5900000.pth,1993.26,100,49,1
league_ppo_regular (score reward)_checkpoint_2500000.pth,1991.67,100,60,1
league_ppo_regular (score reward)_checkpoint_3400000.pth,1988.93,100,54,2
league_ppo_regular (score reward)_checkpoint_10100000.pth,1988.83,100,58,3
league_ppo (score reward)_checkpoint_29200000.pth,1988.43,100,47,0
league_ppo (score reward)_checkpoint_26000000.pth,1987.53,100,53,2
league_ppo_regular (score reward)_checkpoint_2800000.pth,1987.45,100,53,0
league_ppo_regular (score reward)_checkpoint_12000000.pth,1987.44,100,51,5
league_ppo (score reward)_checkpoint_29300000.pth,1987.06,100,57,0
league_ppo (score reward)_checkpoint_3900000.pth,1986.66,100,55,1
league_ppo_regular (score reward)_checkpoint_3300000.pth,1984.58,100,62,3
league_ppo (misc rewards)_checkpoint_3800000.pth,1982.81,100,46,5
league_ppo (score reward)_checkpoint_4700000.pth,1982.59,100,51,0
league_ppo (score reward)_checkpoint_29500000.pth,1981.96,100,55,2
league_ppo (score reward)_checkpoint_6300000.pth,1980.86,100,49,6
league_ppo_real (score reward)_checkpoint_3400000.pth,1979.91,100,53,0
league_ppo_real (score reward)_checkpoint_5500000.pth,1977.86,100,56,6
league_ppo_regular (score reward)_checkpoint_12800000.pth,1976.83,100,62,2
league_ppo_regular (score reward)_checkpoint_7600000.pth,1975.99,100,57,2
league_ppo_real (score reward)_checkpoint_3500000.pth,1974.50,100,57,1
league_ppo (score reward)_checkpoint_26100000.pth,1974.04,100,51,0
league_ppo_regular (score reward)_checkpoint_9200000.pth,1973.69,100,47,3
league_ppo_regular (score reward)_checkpoint_5600000.pth,1973.26,100,50,4
league_ppo_regular (score reward)_checkpoint_9400000.pth,1972.94,100,58,1
league_ppo_real (score reward)_checkpoint_2700000.pth,1972.79,100,53,2
league_ppo_regular (score reward)_checkpoint_9900000.pth,1972.01,100,51,3
league_ppo_real (score reward)_checkpoint_5200000.pth,1970.58,100,55,3
league_ppo_regular (score reward)_checkpoint_2900000.pth,1970.04,100,48,1
league_ppo_real (score reward)_checkpoint_12900000.pth,1969.80,100,54,3
league_ppo (score reward)_checkpoint_3600000.pth,1969.16,100,55,2
league_ppo (score reward)_checkpoint_25800000.pth,1968.82,100,58,3
league_ppo (score reward)_checkpoint_6500000.pth,1967.68,100,57,2
league_ppo (score reward)_checkpoint_23800000.pth,1966.52,100,51,2
league_ppo_regular (score reward)_checkpoint_11400000.pth,1966.00,100,47,2
league_ppo_real (score reward)_checkpoint_4900000.pth,1964.60,100,46,7
baseline_league_ppo_regular (score reward)_checkpoint_10100000.pth,1964.19,7644,4990,448
league_ppo_regular (score reward)_checkpoint_4000000.pth,1964.13,100,51,4
league_ppo (score reward)_checkpoint_28800000.pth,1963.86,100,56,0
league_ppo_regular (score reward)_checkpoint_2700000.pth,1962.52,100,56,1
league_ppo (misc rewards)_checkpoint_1800000.pth,1961.10,100,45,0
league_ppo_regular (score reward)_checkpoint_4900000.pth,1961.00,100,52,0
league_ppo_real (score reward)_checkpoint_3600000.pth,1960.73,100,57,1
league_ppo_regular (score reward)_checkpoint_3700000.pth,1959.09,100,56,2
league_ppo_regular (score reward)_checkpoint_13200000.pth,1958.94,100,56,3
league_ppo_regular (score reward)_checkpoint_6700000.pth,1957.97,100,51,1
league_ppo_regular (score reward)_checkpoint_3100000.pth,1957.83,100,61,0
league_ppo_regular (score reward)_checkpoint_7100000.pth,1957.67,100,61,1
league_ppo_real (score reward)_checkpoint_2600000.pth,1957.03,100,47,5
league_ppo (misc rewards)_checkpoint_2400000.pth,1956.73,100,43,5
league_ppo_regular (score reward)_checkpoint_12300000.pth,1956.51,100,56,3
league_ppo_regular (score reward)_checkpoint_9600000.pth,1954.41,100,58,3
league_ppo (score reward)_checkpoint_6400000.pth,1952.28,100,46,8
league_ppo_regular (score reward)_checkpoint_9100000.pth,1951.87,100,50,3
league_ppo (score reward)_checkpoint_5000000.pth,1951.84,100,48,3
league_ppo_regular (score reward)_checkpoint_7000000.pth,1951.60,100,64,0
league_ppo_regular (score reward)_checkpoint_4600000.pth,1949.83,100,51,0
league_ppo (score reward)_checkpoint_5200000.pth,1949.46,100,52,4
league_ppo_real (score reward)_checkpoint_5300000.pth,1949.16,100,53,4
league_ppo_regular (score reward)_checkpoint_7200000.pth,1949.05,100,56,0
league_ppo (score reward)_checkpoint_3500000.pth,1949.01,100,52,0
league_ppo (score reward)_checkpoint_26800000.pth,1948.28,100,55,1
league_ppo (score reward)_checkpoint_16200000.pth,1946.99,100,49,0
league_ppo_real (score reward)_checkpoint_2800000.pth,1946.14,100,46,1
league_ppo (score reward)_checkpoint_26700000.pth,1945.95,100,52,2
league_ppo (score reward)_checkpoint_5700000.pth,1945.69,100,50,2
league_ppo_regular (score reward)_checkpoint_2600000.pth,1945.52,100,46,2
league_ppo_regular (score reward)_checkpoint_6400000.pth,1945.42,100,46,2
league_ppo_regular (score reward)_checkpoint_4400000.pth,1943.41,100,52,6
league_ppo_regular (score reward)_checkpoint_8900000.pth,1943.24,100,52,2
league_ppo (score reward)_checkpoint_21600000.pth,1942.85,100,47,3
league_ppo (score reward)_checkpoint_29400000.pth,1942.61,100,48,0
league_ppo (misc rewards)_checkpoint_2000000.pth,1942.19,100,47,4
league_ppo (score reward)_checkpoint_25700000.pth,1941.75,100,51,3
league_ppo_regular (score reward)_checkpoint_3900000.pth,1941.30,100,51,1
league_ppo_regular (score reward)_checkpoint_3200000.pth,1940.94,100,50,3
league_ppo (score reward)_checkpoint_26900000.pth,1940.77,100,46,2
league_ppo_regular (score reward)_checkpoint_4200000.pth,1940.62,100,49,1
league_ppo_regular (score reward)_checkpoint_7900000.pth,1940.49,100,54,2
league_ppo_regular (score reward)_checkpoint_6900000.pth,1940.49,100,49,0
league_ppo (score reward)_checkpoint_28000000.pth,1940.42,100,51,2
